"No.","Time","Source","Destination","Protocol","Length","Info"
"204","7.131609083","fe80::3891:23ff:fed4:b780","ff02::fb","MDNS","139","Standard query 0x0001 PTR _googlecast._tcp.local, ""QU"" question PTR _674A0243._sub._googlecast._tcp.local, ""QU"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QU"" question"
"205","7.133775218","fe80::905a:34ff:feac:42ae","ff02::fb","MDNS","123","Standard query 0x0001 PTR _googlecast._tcp.local, ""QU"" question PTR _CC32E753._sub._googlecast._tcp.local, ""QU"" question"
"206","7.133776520","fe80::905a:34ff:feac:42ae","ff02::fb","MDNS","139","Standard query 0x0001 PTR _googlecast._tcp.local, ""QU"" question PTR _CC1AD845._sub._googlecast._tcp.local, ""QU"" question PTR _CC32E753._sub._googlecast._tcp.local, ""QU"" question"
"207","7.139062070","172.17.61.223","224.0.0.251","MDNS","82","Standard query 0x0001 PTR _googlecast._tcp.local, ""QU"" question"
"208","7.139057459","fe80::3891:23ff:fed4:b780","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"209","7.139062240","172.17.61.223","224.0.0.251","MDNS","103","Standard query 0x0001 PTR _googlecast._tcp.local, ""QU"" question PTR _CC32E753._sub._googlecast._tcp.local, ""QU"" question"
"210","7.139062661","172.17.61.223","224.0.0.251","MDNS","119","Standard query 0x0001 PTR _googlecast._tcp.local, ""QU"" question PTR _CC1AD845._sub._googlecast._tcp.local, ""QU"" question PTR _CC32E753._sub._googlecast._tcp.local, ""QU"" question"
"211","7.139082633","172.17.61.50","224.0.0.251","MDNS","82","Standard query 0x0001 PTR _googlecast._tcp.local, ""QU"" question"
"212","7.139083383","172.17.61.50","224.0.0.251","MDNS","103","Standard query 0x0001 PTR _googlecast._tcp.local, ""QU"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QU"" question"
"213","7.139083521","172.17.61.50","224.0.0.251","MDNS","119","Standard query 0x0001 PTR _googlecast._tcp.local, ""QU"" question PTR _674A0243._sub._googlecast._tcp.local, ""QU"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QU"" question"
"214","7.170491973","172.17.60.2","224.0.0.18","VRRP","60","Announcement (v2)"
"215","7.243355993","172.17.61.50","224.0.0.22","IGMPv3","56","Membership Report / Join group 224.0.0.251 for any sources"
"216","7.260753026","fe80::60c9:9cff:feda:da8d","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"217","7.260824306","172.17.60.181","224.0.0.22","IGMPv3","56","Membership Report / Leave group 224.0.0.251"
"218","7.336465377","fe80::1c7b:a8d6:60ed:a476","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"219","7.402758763","172.17.61.200","142.250.182.238","TLSv1.2","4141","Application Data"
"220","7.403561763","172.17.61.200","142.250.182.238","TLSv1.2","168","Application Data, Application Data"
"221","7.406813290","142.250.182.238","172.17.61.200","TCP","66","443  >  47756 [ACK] Seq=1 Ack=1449 Win=17082 Len=0 TSval=3636807997 TSecr=51421132"
"222","7.406814373","142.250.182.238","172.17.61.200","TCP","66","443  >  47756 [ACK] Seq=1 Ack=2897 Win=17105 Len=0 TSval=3636807997 TSecr=51421132"
"223","7.406814480","142.250.182.238","172.17.61.200","TCP","66","443  >  47756 [ACK] Seq=1 Ack=4076 Win=17128 Len=0 TSval=3636807997 TSecr=51421132"
"224","7.406814587","142.250.182.238","172.17.61.200","TCP","66","443  >  47756 [ACK] Seq=1 Ack=4178 Win=17128 Len=0 TSval=3636807997 TSecr=51421133"
